INDICADORA_GEOG1;INDICADORA_A00;INDICADORA_A01;INDICADORA_B00;INDICADORA_C00;INDICADORA_C01;INDICADORA_D00;V916
76;10;;1;;3;5;39,7969339673989
76;10;;1;;4;1;22,329081342392
76;10;;1;;4;2;70,1501762022027
76;10;;1;;4;3;10,8830570145589
76;10;;1;;4;4;6,4641997966361
76;10;;1;;4;5;13,6230118163585
76;10;;1;;4;10;12,4888745424504
76;10;;1;;4;11;17,1817849237176
76;10;;2;1;;1;8,5195087550191
76;10;;2;1;;2;86,5257797328898
76;10;;2;1;;3;123,293551728304
76;10;;2;1;;6;1,9541502468449
76;10;;2;1;;10;8,2851091361445
76;10;;2;1;;11;30,5172347906048
76;10;;2;5;;2;64,8355037227745
76;10;;2;5;;4;11,4344683028488
76;10;;2;6;;4;8,609921651656
76;10;;2;7;;10;9,7405919758874
76;10;;2;8;;10;3,6982407719327
76;10;;2;;2;2;45,976820133056
76;10;;2;;2;3;105,7324956928995
76;10;;2;;2;11;24,0530349939687
76;10;;2;;3;2;9,7485831049235
76;10;;2;;3;6;1,9541502468449
